Title,Offer_price,Real_price,Discount,Rating,Review,Category,Platform
Just Herbs Herb Enriched Intense Color Ayurvedic Micro Mini Lipstick Set - 16 Shades,299,575.0,48,3.9,21564,lipstick,Flipkart
"Lakmé Forever Matte Liquid Lip, 16hr Lipstick, Waterproof & Smudgeproof",281,429.0,34,4.2,234944,lipstick,Flipkart
"MAYBELLINE NEW YORK Color Sensational Ultimattes Lipstick, 899 More Rust, 1.7 g",329,599.0,45,4.2,10342,lipstick,Flipkart
Hilary Rhoda Touch Of Mousse Lipstick | Matte Finish & Long Lasting | Smudge & Water Proof,229,269.0,14,4.2,1080,lipstick,Flipkart
skin21 Waterproof Non Transfer Matte Liquid Lipsticks,118,399.0,70,4.4,17,lipstick,Flipkart
Lakmé Forever Matte Liquid Lip Colour | Red Velvet + Red Revival,471,858.0,45,4.2,234944,lipstick,Flipkart
MAYBELLINE NEW YORK Superstay Matte Ink Liquid Lipstick | Transfer Proof | Waterproof |16 hr Wear,374,749.0,50,4.2,17078,lipstick,Flipkart
Renee Very Matte Lipstick- Rouge,159,199.0,20,3.9,13918,lipstick,Flipkart
NOY Non Transfer Waterproof Longlasting Liquid Matte Lipstick Combo Pack #NL112,115,599.0,80,4.0,13384,lipstick,Flipkart
Lakmé Forever Matte Liquid Lip Colour -,225,450.0,50,4.2,234944,lipstick,Flipkart
"Dazller All Day Lipcolour, Ultra Intense Matte,Smudge-Proof, Lightweight,Up to 8Hrs Stay",190,200.0,5,4.2,51049,lipstick,Flipkart
YELGO Set of 12 Liquid Lipsticks Matte Finish Long Lasting (Multicolor Pack 64 Ml),252,999.0,74,4.0,18476,lipstick,Flipkart
Lakmé 9TO5 Primer + Matte Lip Color,459,650.0,29,4.1,123290,lipstick,Flipkart
SUGAR POP Matte Lipcolour 11 Ruby - Super Matte | Lasts 8+ hours | Non-Drying,245,278.0,11,4.2,27686,lipstick,Flipkart
Iba Maxx Matte Liquid Lipstick,247,450.0,45,4.2,6720,lipstick,Flipkart
SWISS BEAUTY HD Matte Lipstick (SB-212-19),239,399.0,40,4.2,41769,lipstick,Flipkart
"MAYBELLINE NEW YORK Color Sensational Ultimattes Lipstick, 699 More Buff, 1.7 g",317,599.0,47,4.2,10342,lipstick,Flipkart
Lakmé Forever Matte Lipstick,225,375.0,40,4.2,86494,lipstick,Flipkart
